Cities,latitude,longitude,main_weather_7days,rain_amount_7days,temp_7days,clouds_7days,quality
Collioure,42.52505,3.0831554,Clouds,0,14,71,10.25
Cassis,43.2140359,5.5396318,Clouds,6,14,52,3.0
Bormes les Mimosas,43.1506968,6.3419285,Clouds,5,14,61,2.75
Marseille,43.2961743,5.3699525,Clouds,7,14,52,1.0
Aigues Mortes,43.5658225,4.1912837,Clouds,5,13,66,-0.5
Carcassonne,43.2130358,2.3491069,Clouds,1,12,91,-0.75
Aix en Provence,43.5298424,5.4474738,Clouds,7,13,53,-1.25
Saintes Maries de la mer,43.4522771,4.4287172,Clouds,6,13,63,-1.75
Toulouse,43.6044622,1.4442469,Rain,5,12,83,-6.75
Avignon,43.9492493,4.8059012,Clouds,11,14,69,-11.25
Nimes,43.8374249,4.3600687,Clouds,10,13,70,-11.5
Uzes,44.0121279,4.4196718,Clouds,11,12,71,-15.75
Montauban,44.0175835,1.3549991,Rain,9,12,88,-16.0
Gorges du Verdon,43.7496562,6.3285616,Clouds,10,10,69,-17.25
Ariege,42.9455368,1.4065544156065486,Clouds,7,8,92,-21.0
Grenoble,45.1875602,5.7357819,Rain,14,13,87,-23.75
Paris,48.8588897,2.3200410217200766,Rain,15,10,96,-34.0
Dijon,47.3215806,5.0414701,Rain,18,10,84,-37.0
Strasbourg,48.584614,7.7507127,Rain,22,10,82,-44.5
Biarritz,43.471143749999996,-1.552726590666314,Rain,28,14,87,-49.75
Bayonne,43.4945144,-1.4736657,Rain,28,14,87,-49.75
Lyon,45.7578137,4.8320114,Clouds,27,12,81,-50.25
La Rochelle,46.1591126,-1.1520434,Rain,26,12,96,-52.0
Colmar,48.0777517,7.3579641,Rain,28,11,79,-53.75
Besancon,47.2380222,6.0243622,Rain,28,11,83,-54.75
Eguisheim,48.0447968,7.3079618,Rain,30,11,79,-57.75
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,Rain,27,8,81,-58.25
Amiens,49.8941708,2.2956951,Rain,30,10,85,-61.25
Lille,50.6365654,3.0635282,Rain,32,9,88,-68.0
Bayeux,49.2764624,-0.7024738,Rain,36,11,91,-72.75
Rouen,49.4404591,1.0939658,Rain,36,10,87,-73.75
Annecy,45.8992348,6.1288847,Rain,38,10,79,-75.75
St Malo,48.649518,-2.0260409,Rain,38,11,95,-77.75
Mont Saint Michel,48.6359541,-1.511459954959514,Rain,44,11,95,-89.75
Le Havre,49.4938975,0.1079732,Rain,49,10,94,-101.5
