rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
507750,269550,mobile,ended,-81.0,,,Early,False
508131,359049,connect,ended,70.0,,,Late: 1-2 hours,False
511626,398802,mobile,ended,-203.0,,,Early,False
511639,370585,connect,ended,-15.0,563782.0,570.0,Early,True
512303,371242,mobile,ended,-44.0,,,Early,False
513434,256528,connect,ended,23.0,,,Late: 15-30 mins,False
514257,402596,mobile,ended,214.0,,,Late: > 2 hours,False
515147,257466,mobile,ended,15.0,,,Late: 15-30 mins,False
518282,364160,connect,ended,-81.0,,,Early,False
518366,397217,mobile,ended,-156.0,,,Early,False
518895,398816,mobile,ended,66.0,,,Late: 1-2 hours,False
518938,382243,mobile,ended,215.0,,,Late: > 2 hours,False
519491,312389,mobile,ended,58.0,545639.0,420.0,Late: 30-60 mins,True
519795,383720,connect,ended,-159.0,,,Early,False
520095,404496,mobile,ended,-16.0,,,Early,False
521191,224745,mobile,ended,1452.0,,,Late: > 2 hours,False
521352,403184,mobile,ended,-29.0,,,Early,False
521734,190995,mobile,ended,-251.0,,,Early,False
522602,391287,mobile,ended,35.0,,,Late: 30-60 mins,False
523800,352799,mobile,ended,-345.0,,,Early,False
524806,337859,mobile,ended,-26.0,,,Early,False
525817,351617,mobile,ended,22.0,,,Late: 15-30 mins,False
526798,356877,mobile,ended,-15.0,,,Early,False
527377,306450,connect,ended,52.0,,,Late: 30-60 mins,False
527569,314220,mobile,ended,-2.0,,,Early,False
527627,402562,connect,ended,-1.0,,,Early,False
528808,181625,connect,ended,-76.0,557404.0,330.0,Early,True
529193,374877,mobile,ended,15.0,,,Late: 15-30 mins,False
529852,363433,mobile,ended,-68.0,,,Early,False
530646,259092,mobile,ended,-340.0,,,Early,False
530700,221171,mobile,ended,130.0,,,Late: > 2 hours,False
531158,404169,mobile,ended,29.0,,,Late: 15-30 mins,False
531507,355554,mobile,ended,-4.0,,,Early,False
531526,404562,mobile,ended,-160.0,,,Early,False
531955,317639,mobile,ended,-30.0,,,Early,False
531961,234356,mobile,ended,-47.0,,,Early,False
532245,361468,connect,ended,-63.0,,,Early,False
532416,275810,mobile,ended,-148.0,,,Early,False
